,Latitude,Longitude,NO2_2019,NO2_2020,NO2_2019_Norm,NO2_2020_Norm
349,44.810608,10.280303,10.954041,12.733082,0.28593183,0.3323699
350,44.810608,10.319697,11.084122,12.772362,0.2893273,0.3333952
351,44.810608,10.359091,11.296589,12.831894,0.2948733,0.33494917
352,44.810608,10.398485,11.597416,12.909912,0.30272576,0.33698565
353,44.810608,10.437879,11.952891,13.0027485,0.3120047,0.33940896
354,44.810608,10.477273,12.266179,13.105055,0.32018238,0.34207943
355,44.810608,10.516666,12.402352,13.210253,0.3237369,0.34482542
356,44.810608,10.556061,12.29063,13.311201,0.32082063,0.34746045
357,44.810608,10.595454,11.997159,13.400669,0.31316018,0.34979582
358,44.810608,10.634849,11.656262,13.471582,0.3042618,0.35164687
359,44.810608,10.674242,11.365555,13.517057,0.2966735,0.3528339
360,44.810608,10.713636,11.157235,13.530574,0.29123577,0.3531867
361,44.810608,10.753031,11.021305,13.506248,0.2876876,0.35255176
362,44.810608,10.792424,10.933074,13.439241,0.28538454,0.35080266
363,44.810608,10.831819,10.869197,13.326069,0.28371716,0.34784853
364,44.810608,10.871212,10.813707,13.1648245,0.2822687,0.3436396
365,44.810608,10.910606,10.758486,12.955305,0.28082728,0.33817056
366,44.810608,10.95,10.701748,12.699106,0.27934626,0.33148304
367,44.810608,10.989394,10.646441,12.3997135,0.2779026,0.323668
368,44.810608,11.028788,10.598786,12.062766,0.27665865,0.3148727
369,44.810608,11.068182,10.565895,11.696209,0.2758001,0.30530453
370,44.810608,11.107575,10.552303,11.310275,0.2754453,0.29523057
371,44.810608,11.14697,10.55746,10.916866,0.27557993,0.28496146
372,44.810608,11.186363,10.57633,10.528409,0.2760725,0.2748216
373,44.810608,11.225758,10.602156,10.15634,0.2767466,0.26510954
374,44.810608,11.265152,10.62896,9.809912,0.27744627,0.25606677
375,44.810608,11.304545,10.652725,9.495483,0.27806664,0.2478593
376,44.810608,11.34394,10.671551,9.216478,0.27855802,0.24057646
377,44.810608,11.383333,10.685188,8.973825,0.278914,0.23424253
378,44.810608,11.422728,10.694374,8.766518,0.27915376,0.2288312
379,44.810608,11.462121,10.700199,8.592262,0.27930582,0.22428264
380,44.810608,11.501515,10.703713,8.447978,0.27939755,0.22051641
381,44.810608,11.540909,10.705748,8.330234,0.27945065,0.21744294
382,44.810608,11.580303,10.706884,8.235518,0.27948034,0.2149706
383,44.810608,11.619697,10.707501,8.160454,0.27949643,0.2130112
384,44.810608,11.659091,10.7078285,8.101896,0.27950498,0.21148269
385,44.810608,11.698484,10.707998,8.057028,0.2795094,0.21031149
386,44.810608,11.737879,10.708085,8.023356,0.27951166,0.20943257
387,44.810608,11.777273,10.708128,7.998735,0.2795128,0.20878989
388,44.810608,11.816667,10.70815,7.9813323,0.27951336,0.20833562
389,44.810608,11.856061,10.70816,7.969612,0.27951363,0.20802969
390,44.810608,11.895454,10.708165,7.9623003,0.27951378,0.20783883
391,44.810608,11.934849,10.708168,7.9583526,0.27951384,0.20773578
392,44.810608,11.974242,10.708169,7.9569206,0.27951387,0.2076984
393,44.810608,12.013637,10.708169,7.9573274,0.27951387,0.20770901
394,44.810608,12.05303,10.70817,7.959035,0.2795139,0.2077536
395,44.810608,12.092424,10.70817,7.961622,0.2795139,0.20782113
396,44.810608,12.131818,10.70817,7.9647646,0.2795139,0.20790316
397,44.810608,12.171212,10.70817,7.968215,0.2795139,0.20799322
398,44.810608,12.210606,10.70817,7.9717894,0.2795139,0.20808652
399,44.810608,12.25,10.70817,7.9753532,0.2795139,0.20817955
400,44.830807,8.35,10.7082205,7.2537346,0.2795152,0.18934323
401,44.830807,8.389394,10.708193,7.1958914,0.2795145,0.18783337
402,44.830807,8.428788,10.708071,7.1399584,0.2795113,0.18637335
403,44.830807,8.468182,10.707714,7.087762,0.27950197,0.18501088
