,Latitude,Longitude,NO2,Normalized
592,44.771107,12.118091,6.5220165,0.29808506
593,44.771107,12.136934,6.5049386,0.29730454
594,44.771107,12.155779,6.4888453,0.29656902
595,44.771107,12.1746235,6.4736857,0.29587615
596,44.771107,12.193467,6.4594088,0.29522362
597,44.771107,12.212312,6.4459667,0.29460928
598,44.771107,12.231155,6.433314,0.29403096
599,44.771107,12.25,6.4214063,0.29348674
600,44.78166,8.5,5.740426,0.26236293
601,44.78166,8.518845,5.77248,0.26382792
602,44.78166,8.537688,5.8087726,0.26548666
603,44.78166,8.556533,5.849528,0.26734936
604,44.78166,8.5753765,5.894975,0.2694265
605,44.78166,8.594221,5.9453273,0.27172783
