"","Date","IDStation","PM10"
"582",2019-06-01,627,28.6153846153846
"583",2019-07-01,627,26.2142857142857
"584",2019-08-01,627,23.9333333333333
"585",2019-09-01,627,20.7391304347826
"586",2019-10-01,627,35.9032258064516
"587",2019-11-01,627,21.1666666666667
"588",2019-12-01,627,42.5483870967742
"589",2020-01-01,627,68.9677419354839
"590",2020-02-01,627,52.6296296296296
"591",2020-03-01,627,31.7857142857143
"592",2020-04-01,627,27.4333333333333
"593",2020-05-01,627,19.2903225806452
"594",2020-06-01,627,16.2857142857143
"595",2020-07-01,627,20.3548387096774
"596",2020-08-01,627,20.7586206896552
"597",2020-09-01,627,28.1333333333333
"598",2020-10-01,627,32.5357142857143
"599",2020-11-01,627,54.3666666666667
"600",2020-12-01,627,35.1333333333333
"601",2019-01-01,677,57.5806451612903
"602",2019-02-01,677,63.7857142857143
"603",2019-03-01,677,40.258064516129
"604",2019-04-01,677,27.5238095238095
"605",2019-05-01,677,15.3103448275862
"606",2019-06-01,677,30.5
"607",2019-07-01,677,25.5
"608",2019-08-01,677,27.4814814814815
"609",2019-09-01,677,29.7333333333333
"610",2019-10-01,677,37.0344827586207
"611",2019-11-01,677,25.8214285714286
"612",2019-12-01,677,38.9230769230769
"613",2020-01-01,677,69.1
"614",2020-02-01,677,51.551724137931
"615",2020-03-01,677,38.4
"616",2020-04-01,677,28.8275862068966
"617",2020-05-01,677,22.0322580645161
"618",2020-06-01,677,17.2666666666667
"619",2020-07-01,677,20.6896551724138
"620",2020-08-01,677,22.4193548387097
"621",2020-09-01,677,31.0333333333333
"622",2020-10-01,677,33
"623",2020-11-01,677,54.3103448275862
"624",2020-12-01,677,38.5185185185185
"625",2019-01-01,1269,43.2758620689655
"626",2019-02-01,1269,47.0357142857143
"627",2019-03-01,1269,31.8387096774194
"628",2019-04-01,1269,23.0384615384615
"629",2019-05-01,1269,16.6666666666667
"630",2019-06-01,1269,28.6666666666667
"631",2019-07-01,1269,22.375
"632",2019-08-01,1269,16.7916666666667
"633",2019-09-01,1269,25.2916666666667
"634",2019-10-01,1269,25.0344827586207
"635",2019-11-01,1269,19.6521739130435
"636",2019-12-01,1269,35.0645161290323
"637",2020-01-01,1269,53.2903225806452
"638",2020-02-01,1269,40.448275862069
"639",2020-03-01,1269,32.2592592592593
"640",2020-04-01,1269,24.9666666666667
"641",2020-05-01,1269,18.4583333333333
"642",2020-06-01,1269,13
"643",2020-07-01,1269,18.4642857142857
"644",2020-08-01,1269,15.9655172413793
"645",2020-09-01,1269,20.1724137931034
"646",2020-10-01,1269,22.6333333333333
"647",2020-11-01,1269,49.7333333333333
"648",2020-12-01,1269,34.48
"649",2019-01-01,655,50.2727272727273
"650",2019-02-01,655,49.25
"651",2019-03-01,655,34.1935483870968
"652",2019-04-01,655,26.0384615384615
"653",2019-05-01,655,19.8947368421053
"654",2019-06-01,655,27.8888888888889
"655",2019-07-01,655,21.9642857142857
"656",2019-08-01,655,18.48
"657",2019-09-01,655,21.1538461538462
"658",2019-10-01,655,26.6333333333333
"659",2019-11-01,655,26.4333333333333
"660",2019-12-01,655,41.3793103448276
"661",2020-01-01,655,50.2258064516129
"662",2020-02-01,655,41.5833333333333
"663",2020-03-01,655,32.9354838709677
"664",2020-04-01,655,27.4
"665",2020-05-01,655,19.1290322580645
"666",2020-06-01,655,13.0333333333333
"667",2020-07-01,655,16
"668",2020-08-01,655,13.1764705882353
"669",2020-09-01,655,19.7777777777778
"670",2020-10-01,655,22.5172413793103
"671",2020-11-01,655,47.05
"672",2020-12-01,655,39.7931034482759
"673",2019-01-01,564,32.8666666666667
"674",2019-02-01,564,38.2142857142857
"675",2019-03-01,564,21.8709677419355
"676",2019-04-01,564,15.2333333333333
"677",2019-05-01,564,9.7741935483871
"678",2019-06-01,564,21.8
"679",2019-07-01,564,16.9333333333333
"680",2019-08-01,564,14.3870967741935
"681",2019-09-01,564,16.8666666666667
"682",2019-10-01,564,19.4333333333333
"683",2019-11-01,564,13.3666666666667
"684",2019-12-01,564,28.8709677419355
"685",2020-01-01,564,44.1935483870968
"686",2020-02-01,564,34.9310344827586
"687",2020-03-01,564,23.9032258064516
"688",2020-04-01,564,19.8620689655172
"689",2020-05-01,564,12.5666666666667
"690",2020-06-01,564,10.0333333333333
"691",2020-07-01,564,15.0645161290323
"692",2020-08-01,564,12.8709677419355
"693",2020-09-01,564,15.1
"694",2020-10-01,564,12.6333333333333
"695",2020-11-01,564,44.551724137931
"696",2020-12-01,564,30.8064516129032
"697",2019-01-01,687,42.4838709677419
"698",2019-02-01,687,44.1785714285714
"699",2019-03-01,687,25.9354838709677
"700",2019-04-01,687,17.2333333333333
"701",2019-05-01,687,12.1612903225806
"702",2019-06-01,687,22.3333333333333
"703",2019-07-01,687,18.741935483871
"704",2019-08-01,687,15.3448275862069
"705",2019-09-01,687,19.1666666666667
"706",2019-10-01,687,22.5483870967742
"707",2019-11-01,687,17.6333333333333
"708",2019-12-01,687,33.0967741935484
"709",2020-01-01,687,47.9032258064516
"710",2020-02-01,687,42.8928571428571
"711",2020-03-01,687,27.7741935483871
"712",2020-04-01,687,21.551724137931
"713",2020-05-01,687,14.4838709677419
"714",2020-06-01,687,11.8
"715",2020-07-01,687,15.5161290322581
"716",2020-08-01,687,12.9666666666667
"717",2020-09-01,687,17.1666666666667
"718",2020-10-01,687,22.6071428571429
"719",2020-11-01,687,53.0333333333333
"720",2020-12-01,687,36.4193548387097
"721",2019-01-01,682,NA
"722",2019-02-01,682,NA
"723",2019-03-01,682,NA
"724",2019-04-01,682,NA
"725",2019-05-01,682,NA
"726",2019-06-01,682,NA
"727",2019-07-01,682,NA
"728",2019-08-01,682,NA
"729",2019-09-01,682,NA
"730",2019-10-01,682,NA
"731",2019-11-01,682,NA
"732",2019-12-01,682,NA
"733",2020-01-01,682,NA
"734",2020-02-01,682,NA
"735",2020-03-01,682,NA
"736",2020-04-01,682,NA
"737",2020-05-01,682,NA
"738",2020-06-01,682,NA
"739",2020-07-01,682,NA
"740",2020-08-01,682,NA
"741",2020-09-01,682,NA
"742",2020-10-01,682,NA
"743",2020-11-01,682,NA
"744",2020-12-01,682,NA
"745",2019-01-01,595,50.8387096774194
"746",2019-02-01,595,54.3571428571429
"747",2019-03-01,595,33
"748",2019-04-01,595,20.75
"749",2019-05-01,595,15.9655172413793
"750",2019-06-01,595,27.5357142857143
"751",2019-07-01,595,21.3076923076923
"752",2019-08-01,595,9.53333333333333
"753",2019-09-01,595,32.7142857142857
"754",2019-10-01,595,29.2258064516129
"755",2019-11-01,595,21.7586206896552
"756",2019-12-01,595,38.7931034482759
"757",2020-01-01,595,64.2
"758",2020-02-01,595,38.2307692307692
"759",2020-03-01,595,25.7894736842105
"760",2020-04-01,595,24.56
"761",2020-05-01,595,16.2692307692308
"762",2020-06-01,595,12.3333333333333
"763",2020-07-01,595,16.2903225806452
"764",2020-08-01,595,15.3928571428571
"765",2020-09-01,595,18.7586206896552
