,desc_zona,id_zona,sigla_prov,Centroide,Latitude,Longitude
435,OSPEDALETTO LODIGIANO,1242.0,LO,POINT (9.584246271760037 45.17081384885653),45.170813848856525,9.584246271760037
436,OSSAGO LODIGIANO,1243.0,LO,POINT (9.536879618642242 45.24330428093497),45.24330428093497,9.536879618642242
437,PIEVE FISSIRAGA,1244.0,LO,POINT (9.451829215579135 45.26611025297515),45.26611025297515,9.451829215579135
438,ALBAVILLA,125.0,CO,POINT (9.186002879632202 45.8091103583725),45.8091103583725,9.186002879632202
439,SALERANO SUL LAMBRO,1245.0,LO,POINT (9.384540836301715 45.28988992250811),45.28988992250811,9.384540836301715
440,SAN FIORANO,1246.0,LO,POINT (9.714457334712382 45.13397819118671),45.133978191186706,9.714457334712382
441,SAN MARTINO IN SCORTE BRUGNATELLA,1247.0,LO,POINT (9.536352263576761 45.276121862015),45.276121862014996,9.536352263576761
442,SAN ROCCO AL PORTO,1248.0,LO,POINT (9.700076181976661 45.08592742491354),45.085927424913535,9.70007618197666
443,SANT`ANGELO LODIGIANO,1249.0,LO,POINT (9.408700157804819 45.23206709016818),45.23206709016818,9.40870015780482
444,SANTO STEFANO LODIGIANO,1250.0,LO,POINT (9.73465009360447 45.11956094069948),45.11956094069948,9.73465009360447
445,SECUGNAGO,1251.0,LO,POINT (9.594031690283678 45.22998698249775),45.22998698249775,9.594031690283678
446,SENNA LODIGIANA,1252.0,LO,POINT (9.593444380146895 45.13291308716948),45.132913087169484,9.593444380146895
447,SOMAGLIA,1253.0,LO,POINT (9.643720803326454 45.14867979045574),45.148679790455745,9.643720803326454
448,MEZZANA RABATTONE,914.0,PV,POINT (9.035848107495095 45.09970508499988),45.099705084999876,9.035848107495095
449,CESATE,351.0,MI,POINT (9.079904444586969 45.59728525648313),45.59728525648313,9.079904444586969
450,CISLIANO,352.0,MI,POINT (8.986291147853576 45.43895410734999),45.43895410734999,8.986291147853576
451,CORTEOLONA,894.0,PV,POINT (9.369999570512414 45.16063269854767),45.160632698547666,9.369999570512414
452,BEDERO VALCUVIA,9.0,VA,POINT (8.79808160144623 45.91196206321621),45.91196206321621,8.79808160144623
453,MESENZANA,90.0,VA,POINT (8.752518738386724 45.9445869732489),45.944586973248896,8.752518738386724
454,CORVINO SAN QUIRICO,895.0,PV,POINT (9.155460621072702 45.01679800731351),45.01679800731351,9.155460621072702
455,CURA CARPIGNANO,896.0,PV,POINT (9.248522713040231 45.20608342953736),45.20608342953736,9.24852271304023
456,DORNO,897.0,PV,POINT (8.952967551340828 45.14855193650865),45.14855193650865,8.952967551340828
457,FERRERA ERBOGNONE,898.0,PV,POINT (8.858172507215281 45.10312119320646),45.103121193206455,8.858172507215281
458,MONVALLE,92.0,VA,POINT (8.62668283063983 45.85248666742689),45.852486667426895,8.62668283063983
459,FILIGHERA,899.0,PV,POINT (9.315094126431385 45.17776270926742),45.17776270926742,9.315094126431385
460,GAMBOLO`,900.0,PV,POINT (8.867671142159503 45.25914865417352),45.259148654173515,8.867671142159503
461,GARLASCO,901.0,PV,POINT (8.93259896770282 45.20375702592872),45.20375702592872,8.93259896770282
462,PARONA,925.0,PV,POINT (8.761606043010692 45.28332066744212),45.28332066744212,8.761606043010692
463,GERENZAGO,902.0,PV,POINT (9.363210584373601 45.19975633760379),45.199756337603795,9.3632105843736
464,GRAVELLONA LOMELLINA,903.0,PV,POINT (8.775213428176935 45.3363030638344),45.3363030638344,8.775213428176935
465,GROPELLO CAIROLI,904.0,PV,POINT (8.996998595018415 45.17401633786366),45.17401633786366,8.996998595018415
466,MONTEGRINO VALTRAVAGLIA,91.0,VA,POINT (8.778687250010972 45.9677470885737),45.9677470885737,8.778687250010972
467,INVERNO E MONTELEONE,905.0,PV,POINT (9.396132993523732 45.19362331269569),45.193623312695685,9.396132993523732
468,LANDRIANO,906.0,PV,POINT (9.271226699702229 45.30971976307095),45.30971976307095,9.271226699702229
469,PIETRA DE` GIORGI,926.0,PV,POINT (9.240664398860254 45.0164575119801),45.0164575119801,9.240664398860254
470,PIEVE ALBIGNOLA,927.0,PV,POINT (8.965675435350553 45.1043261360776),45.104326136077596,8.965675435350553
471,PIEVE DEL CAIRO,928.0,PV,POINT (8.80971581969137 45.05769854218931),45.057698542189314,8.80971581969137
472,LARDIRAGO,907.0,PV,POINT (9.246527274801899 45.23899732744998),45.23899732744998,9.246527274801899
473,LINAROLO,908.0,PV,POINT (9.254636578277674 45.1502846281523),45.1502846281523,9.254636578277674
474,MAGHERNO,909.0,PV,POINT (9.332335731770433 45.21973615841983),45.219736158419835,9.332335731770433
475,MARZANO,910.0,PV,POINT (9.29022285274664 45.24826432361417),45.24826432361417,9.29022285274664
476,MEDE,911.0,PV,POINT (8.738648761181716 45.09492372759479),45.09492372759479,8.738648761181716
477,MENCONICO,912.0,PV,POINT (9.277176400113698 44.79998528401687),44.79998528401687,9.277176400113698
478,MEZZANA BIGLI,913.0,PV,POINT (8.886144675217894 45.06636626429764),45.06636626429764,8.886144675217894
479,TAVAZZANO CON VILLAVESCO,1255.0,LO,POINT (9.408700337454755 45.33263400356506),45.33263400356506,9.408700337454755
480,ALZATE BRIANZA,129.0,CO,POINT (9.182600685508595 45.7611334359813),45.7611334359813,9.182600685508595
481,BIANDRONNO,13.0,VA,POINT (8.712008260996457 45.81398617174784),45.81398617174784,8.712008260996457
482,ANZANO DEL PARCO,130.0,CO,POINT (9.208644606801858 45.76937494151663),45.76937494151663,9.208644606801858
483,APPIANO GENTILE,131.0,CO,POINT (8.967786151375805 45.73626111670983),45.73626111670983,8.967786151375805
484,AROSIO,132.0,CO,POINT (9.21030239830419 45.7206135988917),45.7206135988917,9.21030239830419
485,ASSO,133.0,CO,POINT (9.264643809997386 45.86506957624611),45.865069576246114,9.264643809997386
486,BELLAGIO,134.0,CO,POINT (9.247304195777343 45.95942469493921),45.95942469493921,9.247304195777343
487,BEREGAZZO CON FIGLIARO,135.0,CO,POINT (8.951921034986963 45.7723228329562),45.7723228329562,8.951921034986963
488,BINAGO,136.0,CO,POINT (8.921173214506362 45.77528815855919),45.77528815855919,8.921173214506362
489,BIZZARONE,137.0,CO,POINT (8.943871326183949 45.83592276552484),45.83592276552484,8.943871326183949
490,BLEVIO,138.0,CO,POINT (9.105223499142728 45.83725497632528),45.837254976325276,9.105223499142728
491,BREGNANO,139.0,CO,POINT (9.057144713768562 45.69493217502005),45.69493217502005,9.057144713768562
492,BISUSCHIO,14.0,VA,POINT (8.867344566168468 45.88043824354385),45.88043824354385,8.867344566168468
493,BRENNA,140.0,CO,POINT (9.182550604031515 45.73932701927166),45.73932701927166,9.182550604031515
494,BRUNATE,141.0,CO,POINT (9.099392720888609 45.82124774554244),45.821247745542436,9.09939272088861
495,LIPOMO,188.0,CO,POINT (9.121722793527093 45.79067135421565),45.790671354215654,9.121722793527093
496,LOCATE VARESINO,189.0,CO,POINT (8.924421045145836 45.69007427428534),45.690074274285344,8.924421045145836
497,LOMAZZO,190.0,CO,POINT (9.032226306036808 45.69096007411492),45.69096007411492,9.032226306036808
498,BULGAROGRASSO,142.0,CO,POINT (9.005682129037851 45.74744975459843),45.747449754598435,9.00568212903785
499,CABIATE,143.0,CO,POINT (9.171564405510283 45.67545251970567),45.67545251970567,9.171564405510283
500,CADORAGO,144.0,CO,POINT (9.042365021623926 45.7213124333381),45.7213124333381,9.042365021623926
501,CAGNO,145.0,CO,POINT (8.914612276025462 45.80820128587745),45.80820128587745,8.914612276025462
502,BENE LARIO - GRANDOLA ED UNITI,1294.0,CO,POINT (9.188994003966776 46.03851868749357),46.03851868749357,9.188994003966776
